productName,count
JBL BAR 300,10
7.1.3 channel LG Home Theater Soundbar with Dolby Atmos and Rear Speakers S90TR,11
Q-series Soundbar HW-QS700F 3.1.2 ch Subwoofer (2025),1
Bose Smart Soundbar,2
Bose TV Speaker,1
JBL BAR 700,1
Ultra Slim Soundbar HW-S700D 3.1 ch Sub Woofer,1
JBL BAR 1300X,13
Sub Mini,1
Bose Smart Ultra Soundbar,1
Ray,4
JBL BAR 1000,26
JBL Bar 2.0 All-in-one (MK2),3
JBL Bar 1000MK2,2
JBL Bar 5.0 MultiBeam,3
Arc Ultra,12
5.1 channel LG Home Theater Soundbar with Surround Sound and Rear Speakers S60TR,2
Bose Bass Module 500,23
Bose Bass Module 700,3
Sub 4,3
